iter	RMSE
189	101.5685884
190	101.5242559
191	101.508562
192	100.9372894
193	100.9000409
194	100.8760203
195	100.8167952
196	100.0319145
197	100.0137936
198	99.7388407
199	99.69074197
200	99.6605917
201	99.61719788
202	99.09487224
203	99.08622413
204	99.07113276
205	99.00470861
206	98.992709
207	98.26807318
208	98.24930322
209	97.53528004
210	97.51162208
211	96.8206003
212	96.33061376
213	96.27303652
214	95.78801579
215	95.339376
216	95.13218117
217	94.80340628
218	94.76247192
219	94.69850973
220	94.6082738
221	94.55122148
222	93.95898425
223	93.92254907
224	93.87733995
225	93.6620448
226	93.60750305
227	93.59460666
228	93.58302265
229	93.54564761
230	93.2807565
231	93.122845
232	93.09994859
233	93.03654686
234	92.79017644
235	92.73600231
236	92.36505791
237	92.35461768
238	92.3448411
239	92.32382021
240	92.19513442
241	92.15761166
242	92.13370169
243	92.09035386
244	91.67475527
245	91.63432673
246	91.51851378
247	91.4969724
248	91.48811918
249	91.43289284
250	91.39426124
251	91.38341173
252	90.86144336
253	90.83758756
254	90.61603379
255	90.59608627
256	90.57833712
257	90.45226638
258	90.09717308
259	90.04789367
260	90.00086224
261	89.96249246
262	89.89948222
263	89.81944658
264	89.70442934
265	89.53465656
266	89.5104132
267	89.45694804
268	89.41054378
269	89.37237882
270	89.32532591
271	89.30037948
272	89.25488284
273	89.19799305
274	89.16046863
275	89.13373941
276	89.1013418
277	88.93103508
278	88.87646316
279	88.79958749
280	88.75667472
281	88.71697127
282	88.45947241
283	88.21771944
284	88.1649371
285	88.13492322
286	88.08372934
287	88.06578779
288	88.02770296
289	88.00003392
290	87.93692826
291	87.90366818
292	87.86692097
293	87.84482082
294	87.81884647
295	87.77100419
296	87.61571157
297	87.57642719
298	87.55153582
299	87.07372139
300	87.04473897
301	86.99880949
302	86.97542954
303	86.95957877
304	86.92556725
305	86.89160099
306	86.82834799
307	86.80699492
308	86.78619924
309	86.73504681
310	86.67653583
311	86.63991173
312	86.62913467
313	86.58943844
314	86.57456444
315	86.55947586
316	86.52720736
317	86.32892179
318	86.28832236
319	86.25455906
320	86.21330788
321	86.18445844
322	86.12109858
323	85.6514383
324	85.63280833
325	85.61417241
326	85.5761123
327	85.5481986
328	85.37191757
329	85.31166119
330	85.28929042
331	85.25294281
332	85.21656082
333	85.19685533
334	85.14331285
335	85.10324311
336	85.08345372
337	85.01647437
338	84.99858589
339	84.9643428
340	84.94095517
341	84.92035518
342	84.88938331
343	84.85334089
344	84.83066986
345	84.7880583
346	84.73088659
347	84.71762208
348	84.67828249
349	84.64922585
350	84.58642407
351	84.35510469
352	84.31323167
353	84.2720111
354	84.24603443
355	84.22901792
356	84.21268005
357	84.17399766
358	83.9109176
359	83.88446477
360	83.8582166
361	83.82537168
362	83.81115046
363	83.79430344
364	83.77867233
365	83.73925704
366	83.61458981
367	83.58471696
368	83.42519336
369	83.35167905
370	83.32469173
371	83.30956488
372	83.27266997
373	83.24477798
374	83.22318329
375	83.1694499
376	83.13046346
377	83.09682139
378	83.05016179
379	82.88078389
380	82.84779351
381	82.74706847
382	82.59821714
383	82.55339834
384	82.51649421
385	82.47959972
386	82.45562509
387	82.40375685
388	82.39546307
389	82.35484598
390	82.22234041
391	82.09354344
392	82.07979339
393	82.02388124
394	81.98416827
395	81.9674227
396	81.92252015
397	81.90274037
398	81.86397847
399	81.83105456
400	81.71947848
401	81.67623783
402	81.65346614
403	81.62346343
404	81.59475366
405	81.56971889
406	81.3914667
407	81.18861502
408	81.14729871
409	81.11226327
410	81.07658624
411	81.04404881
412	80.93721349
413	80.90312226
414	80.85536544
415	80.84628941
416	80.70569244
417	80.68666501
418	80.66189016
419	80.64054213
420	80.61753813
421	80.58641288
422	80.5560282
423	80.51832803
424	80.4484146
425	80.43567708
426	80.42805076
427	80.23252607
428	79.8424359
429	79.82023257
430	79.79180504
431	79.77455309
432	79.73798303
433	79.55446535
434	79.51547446
435	79.4941766
436	79.44818984
437	79.44022441
438	79.39746663
439	79.32185418
440	79.2737955
441	79.12119636
442	79.07920138
443	79.07236049
444	79.030496
445	79.02383182
446	79.01662062
447	78.99035539
448	78.96602781
449	78.94796213
450	78.93665153
451	78.9151707
452	78.74004209
453	78.73534948
454	78.70812224
455	78.69078689
456	78.66959606
457	78.64505925
458	78.5698222
459	78.52301708
460	78.50681028
461	78.48685165
462	78.28748951
463	78.23705562
464	78.21987841
465	78.16126768
466	78.12211022
467	78.02945797
468	78.01296856
469	77.89003855
470	77.85659003
471	77.84813889
472	77.82940207
473	77.80297867
474	77.78222053
475	77.77284294
476	77.73879408
477	77.70249402
478	77.66280008
479	77.62571341
480	77.58671808
481	77.57163874
482	77.5304196
483	77.52162464
484	77.48355719
485	77.45231194
486	77.44183685
487	77.4065607
488	77.37538667
489	77.29815484
490	77.27575837
491	77.26183291
492	77.23351297
493	77.20523376
494	77.17242376
495	77.15811851
496	77.1230838
497	77.10481515
498	77.06482921
499	77.0437945
500	77.00550783
501	76.96039397
502	76.64010871
503	76.33132391
504	76.30413056
505	76.29801464
506	76.27283991
507	76.24121711
508	76.22284431
509	76.20505597
510	76.07658917
511	76.05491911
512	76.02905439
513	76.01130813
514	75.92594032
515	75.90356365
516	75.87885305
517	75.71674071
518	75.70295158
519	75.686694
520	75.66042262
521	75.62752601
522	75.60349043
523	75.57651
524	75.54976078
525	75.52749029
526	75.51612023
527	75.50764606
528	75.47809439
529	75.41177292
530	75.3833653
531	75.35654256
532	75.32350994
533	75.17163279
534	75.13435004
535	75.11654593
536	75.09919874
537	75.07758464
538	75.00757762
539	74.98954658
540	74.71073245
541	74.66357304
542	74.55941605
543	74.28773356
544	74.25810104
545	74.21782905
546	74.1682954
547	74.13539329
548	74.09393376
549	74.01680536
550	74.00759991
551	73.99099609
552	73.70802179
553	73.68511924
554	73.66032769
555	73.62511684
556	73.37479707
557	73.35390888
558	73.10397514
559	73.08883659
560	73.06475189
561	72.91697907
562	72.86689128
563	72.79003363
564	72.71742053
565	72.56604059
566	72.48361276
567	72.47228135
568	72.390499
569	72.33234366
570	72.31379
571	72.30640094
572	72.07795495
573	71.987689
574	71.98190929
575	71.96917929
576	71.95411358
577	71.94873859
578	71.93987728
579	71.90103404
580	71.82046583
581	71.61821624
582	71.57798641
583	71.54689797
584	71.53651182
585	71.51879428
586	71.50209595
587	71.48311176
588	71.45104858
589	71.42013831
590	71.38912516
591	71.32592978
592	71.29317238
593	71.25467653
594	71.25236076
595	71.23528928
596	71.18019504
597	71.1013649
598	71.07577471
599	70.87011517
600	70.86582644
601	70.84222897
602	70.82534482
603	70.81782203
604	70.81026151
605	70.78377716
606	70.75813689
607	70.65841522
608	70.64587072
609	70.60087961
610	70.58514219
611	70.55582754
612	70.54928959
613	70.53042318
614	70.49772798
615	70.45340239
616	70.44310389
617	70.40729721
618	70.39358541
619	70.31348248
620	70.2793961
621	70.27241699
622	70.25048694
623	70.22587224
624	70.20945931
625	70.17148613
626	70.16789732
627	70.11109233
628	69.90992647
629	69.7297373
630	69.70535402
631	69.69948233
632	69.67234132
633	69.63860351
634	69.61163199
635	69.59124206
636	69.58249681
637	69.56832005
638	69.56654182
639	69.53919451
640	69.5139734
641	69.48598909
642	69.4672196
643	69.28855492
644	69.26258611
645	69.23367091
646	69.21105704
647	69.20812283
648	69.19083411
649	69.00928545
650	68.97679231
651	68.97342522
652	68.96472583
653	68.93943915
654	68.77866745
655	68.74685684
656	68.69161713
657	68.63791647
658	68.62971757
659	68.61491922
660	68.59522035
661	68.57361305
662	68.4163509
663	68.40128411
664	68.3948559
665	68.36366511
666	68.36138599
667	68.33793044
668	68.31767144
669	68.29257679
670	68.27170407
671	68.23300989
672	68.21321389
673	68.19537982
674	68.14579271
675	68.11335744
676	68.05721376
677	68.04770203
678	68.02700754
679	68.01646279
680	67.99170663
681	67.97019745
682	67.95791812
683	67.955465
684	67.8979118
685	67.8609344
686	67.84417514
687	67.83955093
688	67.81407845
689	67.80399772
690	67.77063062
691	67.74504802
692	67.72103254
693	67.69071799
694	67.67008302
695	67.65230519
696	67.63233462
697	67.613096
698	67.59379171
699	67.58187898
700	67.54078048
701	67.44142136
702	67.42601222
703	67.39777955
704	67.38199407
705	67.37094627
706	67.33187361
707	67.19084402
708	67.17041348
709	67.14990441
710	67.12453858
711	67.07483707
712	67.04846413
713	67.01844151
714	66.97321609
715	66.95538494
716	66.91683159
717	66.89827868
718	66.84914633
719	66.82556818
720	66.81739362
721	66.66520389
722	66.6443816
723	66.61754643
724	66.60307017
725	66.59983638
726	66.58418907
727	66.56655718
728	66.52303458
729	66.49488161
730	66.48667624
731	66.47687506
732	66.46021718
733	66.43152156
734	66.41499121
735	66.37816867
736	66.37447875
737	66.36056147
738	66.35199665
739	66.2194402
740	66.20216592
741	66.1875535
742	66.16541953
743	66.14599233
744	66.10929019
745	66.10494118
746	66.10154476
747	66.01669056
748	65.99271113
749	65.97604372
750	65.97108866
751	65.90039564
752	65.87926822
753	65.8494703
754	65.83297745
755	65.79042963
756	65.75020149
757	65.74678998
758	65.7306646
759	65.72804414
760	65.68926336
761	65.67363816
762	65.67140521
763	65.65303643
764	65.62547689
765	65.61762602
766	65.58759938
767	65.58014736
768	65.51235243
769	65.49389349
770	65.48582511
771	65.36596548
772	65.33364253
773	65.30267609
774	65.28112628
775	65.26060967
776	65.24040797
777	65.21791882
778	65.18954007
779	65.12233633
780	65.07372075
781	65.04869882
782	64.99145035
783	64.97594426
784	64.95381716
785	64.94234062
786	64.90834963
787	64.89411989
788	64.84977516
789	64.83641894
790	64.81884894
791	64.8184033
792	64.78529425
793	64.76149969
794	64.73513818
795	64.6159448
796	64.60892151
797	64.6049798
798	64.58861997
799	64.56632801
800	64.52754521
801	64.49444252
802	64.4803157
803	64.45485952
804	64.43416792
805	64.431051
806	64.41414989
807	64.30277706
808	64.28016778
809	64.27765358
810	64.23762412
811	64.22917994
812	64.21286654
813	64.19784477
814	64.1843434
815	64.0583214
816	64.05301016
817	64.04023665
818	64.01458759
819	63.98233357
820	63.92472996
821	63.86524623
822	63.80197555
823	63.7428946
824	63.69473495
825	63.6913464
826	63.6639426
827	63.65048377
828	63.60153224
829	63.57857117
830	63.54807214
831	63.53557779
832	63.52124487
833	63.49659266
834	63.43290459
835	63.40712984
836	63.38308794
837	63.36641442
838	63.3398724
839	63.33229709
840	63.32275197
841	63.30925499
842	63.2831899
843	63.26417271
844	63.24932511
845	63.21581409
846	63.20201368
847	63.18403959
848	63.15587639
849	63.13382017
850	63.12876676
851	63.05234353
852	63.03317658
853	63.00277479
854	62.98293189
855	62.96102198
856	62.92685056
857	62.90505199
858	62.89181516
859	62.79233997
860	62.76475067
861	62.73211211
862	62.71713593
863	62.699435
864	62.6825334
865	62.56885616
866	62.5398795
867	62.51924451
868	62.49464646
869	62.46356421
870	62.44225594
871	62.42704369
872	62.35057045
873	62.33353546
874	62.30908825
875	62.28960884
876	62.23158284
877	62.19912867
878	62.19386921
879	62.1761391
880	62.06600866
881	62.05562856
882	62.040176
883	62.00714535
884	61.99944393
885	61.95675011
886	61.94488604
887	61.91921108
888	61.91217872
889	61.89640424
890	61.88079196
891	61.87182189
892	61.85390417
893	61.84522139
894	61.82011053
895	61.80031605
896	61.78674844
897	61.75840834
898	61.73340671
899	61.73257946
900	61.72269164
901	61.67750982
902	61.66454471
903	61.64079378
904	61.62387069
905	61.56588084
906	61.54372652
907	61.52564724
908	61.50817292
909	61.4847443
910	61.47199381
911	61.45859206
912	61.45224674
913	61.44857402
914	61.42342139
915	61.40184488
916	61.38479032
917	61.37359838
918	61.35891302
919	61.32881025
920	61.31139267
921	61.29494958
922	61.27995169
923	61.26789461
924	61.25782188
925	61.22339759
926	61.21368313
927	61.19994156
928	61.19816932
929	61.19337807
930	61.18913198
931	61.17348197
932	61.13298609
933	61.12059087
934	61.1142566
935	61.09379934
936	61.07531852
937	61.04864861
938	61.03397554
939	61.01095911
940	60.98947656
941	60.97230387
942	60.95059943
943	60.91049036
944	60.89537438
945	60.88786361
946	60.87273322
947	60.86027866
948	60.84355912
949	60.80620811
950	60.78866545
951	60.75555936
952	60.73484681
953	60.73204961
954	60.73019201
955	60.71130027
956	60.69484087
957	60.68052668
958	60.67624757
959	60.65755433
960	60.64486603
961	60.6323838
962	60.62133342
963	60.58810376
964	60.5776019
965	60.56524479
966	60.55123799
967	60.54996788
968	60.52241725
969	60.5064982
970	60.49961674
971	60.47681118
972	60.39087337
973	60.37033723
974	60.33196518
975	60.32018252
976	60.27433316
977	60.26274624
978	60.24571842
979	60.2166554
980	60.20035624
981	60.17280726
982	60.15600042
983	60.14183999
984	60.13241085
985	60.12131711
986	60.09763103
987	60.07604165
988	60.06325729
989	60.04938206
990	60.03285483
991	59.98508353
992	59.94447076
993	59.92962921
994	59.90408176
995	59.87253182
996	59.86725743
997	59.85904826
998	59.83856261
999	59.8279145
